Vendedor;Comprador;Data da Venda;Nome do Produto;Mês;Valor Unitário;Valor Total;Quantidade;Loja;Município da Loja;Categoria do Produto
Samuel Nascimento;Joana Novaes;26/07/2024;Ração para Gatos;July;35,96;179,8;5;Mercado do Bairro;Rondonópolis;Pet
Ana Clara Barros;Beatriz da Rosa;28/02/2025;Sabão em Pó;February;24,84;173,88;7;Supermercado Central;Sinop;Limpeza
Vitória Martins;Henrique Azevedo;28/03/2025;Esponja;March;48,25;144,75;3;Super Econômico;Cuiabá;Limpeza
João Vitor Moura;Evelyn Sales;09/07/2024;Desinfetante;July;45,17;180,68;4;Super Econômico;Rondonópolis;Limpeza
Davi Luiz Silveira;Otávio Nunes;09/02/2025;Refrigerante;February;6,42;6,42;1;Atacadão Popular;Tangará da Serra;Bebidas
Juliana Nunes;Manuela Lima;22/09/2024;Ração para Cães;September;33,6;168,0;5;Super Econômico;Rondonópolis;Pet
João Vitor Moura;Igor Gonçalves;26/10/2024;Macarrão;October;6,65;19,95;3;Atacadão Popular;Rondonópolis;Alimentos
Ryan Azevedo;Raul Silveira;02/12/2024;Refrigerante;December;28,67;28,67;1;Supermercado Central;Sinop;Bebidas
Dra. Lívia Gonçalves;Pedro Henrique Ramos;27/09/2024;Ração para Cães;September;37,66;112,98;3;Super Econômico;Várzea Grande;Pet
Dra. Clara da Paz;Manuela Lima;21/09/2024;Ração para Cães;September;20,5;184,5;9;Mercado do Bairro;Rondonópolis;Pet
João Lucas Correia;Julia Viana;24/08/2024;Desodorante;August;45,96;45,96;1;Super Econômico;Várzea Grande;Higiene
Juliana Nunes;Luiz Gustavo Nascimento;13/01/2025;Ração para Cães;January;9,58;57,48;6;Supermercado Central;Rondonópolis;Pet
Dra. Clara da Paz;Srta. Emanuella Almeida;13/10/2024;Refrigerante;October;8,05;64,4;8;Supermercado Central;Rondonópolis;Bebidas
Davi Luiz Silveira;Paulo Martins;03/07/2024;Água Mineral;July;28,53;228,24;8;Super Econômico;Cuiabá;Bebidas
João Vitor Moura;Lívia Pinto;19/08/2024;Feijão;August;14,05;140,5;10;Atacadão Popular;Várzea Grande;Alimentos
Juliana Nunes;Enzo Farias;22/10/2024;Shampoo Pet;October;20,01;20,01;1;Mercado do Bairro;Várzea Grande;Pet
Dr. Vitor Gabriel Almeida;Paulo Cardoso;15/08/2024;Sabonete;August;8,83;35,32;4;Supermercado Central;Tangará da Serra;Higiene
Davi Luiz Silveira;Enzo Farias;15/03/2025;Shampoo Pet;March;32,24;96,72;3;Mercado do Bairro;Cuiabá;Pet
Milena Pires;Rafaela Ramos;11/04/2025;Areia Higiênica;April;3,83;11,49;3;Mercado do Bairro;Cuiabá;Pet
Dra. Clara da Paz;Luiz Gustavo Nascimento;11/11/2024;Feijão;November;10,58;105,8;10;Supermercado Central;Cuiabá;Alimentos
Juliana Nunes;Eduardo Mendes;09/01/2025;Papel Higiênico;January;19,34;19,34;1;Super Econômico;Cuiabá;Higiene
Giovanna Alves;Sophie Nascimento;10/10/2024;Sabão em Pó;October;32,79;32,79;1;Supermercado Central;Cuiabá;Limpeza
Isabel Melo;Joana Novaes;17/08/2024;Shampoo;August;33,85;67,7;2;Atacadão Popular;Rondonópolis;Higiene
João Vitor Moura;Isabelly Porto;16/11/2024;Água Sanitária;November;14,6;29,2;2;Super Econômico;Rondonópolis;Limpeza
Sr. Pietro Moraes;Joana Novaes;25/11/2024;Ração para Gatos;November;45,11;225,55;5;Atacadão Popular;Sinop;Pet
Milena Pires;Joana Campos;02/01/2025;Vinho;January;31,25;31,25;1;Atacadão Popular;Sinop;Bebidas
Dra. Clara da Paz;Sabrina Pires;26/02/2025;Água Sanitária;February;16,1;48,3;3;Mercado do Bairro;Cuiabá;Limpeza
Dra. Lívia Gonçalves;Luiza Dias;28/12/2024;Cerveja;December;31,4;282,6;9;Supermercado Central;Várzea Grande;Bebidas
Dr. Vitor Gabriel Almeida;Agatha da Rosa;05/03/2025;Refrigerante;March;43,37;260,22;6;Atacadão Popular;Cuiabá;Bebidas
Juliana Nunes;Ana Lívia Farias;13/12/2024;Detergente;December;18,63;18,63;1;Mercado do Bairro;Várzea Grande;Limpeza
Luna das Neves;Raul Silveira;08/02/2025;Shampoo;February;2,13;21,3;10;Supermercado Central;Várzea Grande;Higiene
Luna das Neves;Pedro Teixeira;17/12/2024;Petisco;December;6,42;57,78;9;Mercado do Bairro;Várzea Grande;Pet
Dra. Clara da Paz;Bianca Duarte;28/03/2025;Papel Higiênico;March;31,55;31,55;1;Super Econômico;Cuiabá;Higiene
Juliana Nunes;Lívia Pinto;27/12/2024;Areia Higiênica;December;47,4;284,4;6;Super Econômico;Tangará da Serra;Pet
Dra. Clara da Paz;Felipe Cardoso;17/09/2024;Areia Higiênica;September;24,44;244,4;10;Mercado do Bairro;Sinop;Pet
Sr. Pietro Moraes;Srta. Mariane Moraes;15/05/2024;Suco;May;4,49;31,43;7;Supermercado Central;Rondonópolis;Bebidas
Davi Luiz Silveira;Paulo Monteiro;12/11/2024;Óleo;November;18,56;111,36;6;Supermercado Central;Sinop;Alimentos
João Lucas Correia;Raul Correia;17/10/2024;Desodorante;October;15,77;126,16;8;Super Econômico;Cuiabá;Higiene
João Lucas Correia;Paulo Martins;23/02/2025;Ração para Cães;February;21,91;153,37;7;Super Econômico;Sinop;Pet
Ryan Azevedo;Nicolas Cunha;22/06/2024;Refrigerante;June;8,97;80,73;9;Supermercado Central;Cuiabá;Bebidas
Juliana Nunes;Sophie Nascimento;04/02/2025;Macarrão;February;42,33;296,31;7;Atacadão Popular;Sinop;Alimentos
Dra. Clara da Paz;Marina da Conceição;16/10/2024;Açúcar;October;14,29;28,58;2;Mercado do Bairro;Várzea Grande;Alimentos
Dra. Clara da Paz;Lara Gonçalves;10/07/2024;Água Mineral;July;18,16;90,8;5;Mercado do Bairro;Cuiabá;Bebidas
Isabel Melo;Joana Campos;20/02/2025;Esponja;February;15,51;77,55;5;Supermercado Central;Várzea Grande;Limpeza
Samuel Nascimento;Daniel Martins;06/01/2025;Arroz;January;13,63;68,15;5;Mercado do Bairro;Sinop;Alimentos
Milena Pires;Gabrielly Correia;03/12/2024;Arroz;December;30,18;301,8;10;Supermercado Central;Cuiabá;Alimentos
Elisa Alves;Agatha da Rosa;19/12/2024;Areia Higiênica;December;46,47;185,88;4;Atacadão Popular;Cuiabá;Pet
Samuel Nascimento;Alana Novaes;09/11/2024;Areia Higiênica;November;10,69;74,83;7;Super Econômico;Cuiabá;Pet
Elisa Alves;Clarice da Mata;11/11/2024;Esponja;November;10,41;20,82;2;Supermercado Central;Sinop;Limpeza
Samuel Nascimento;Lara Gonçalves;12/08/2024;Ração para Cães;August;5,3;42,4;8;Mercado do Bairro;Rondonópolis;Pet
Dra. Clara da Paz;Maria Cecília Cunha;08/04/2025;Desodorante;April;2,4;21,6;9;Super Econômico;Rondonópolis;Higiene
Dra. Lívia Gonçalves;Luiz Otávio Peixoto;25/04/2024;Desinfetante;April;35,8;179,0;5;Super Econômico;Sinop;Limpeza
Juliana Nunes;Gabrielly Correia;04/02/2025;Shampoo;February;32,84;197,04;6;Mercado do Bairro;Tangará da Serra;Higiene
Dra. Lívia Gonçalves;Sra. Mariana Nunes;29/12/2024;Cerveja;December;28,45;28,45;1;Super Econômico;Rondonópolis;Bebidas
Isabel Melo;Luna Almeida;13/04/2025;Creme Dental;April;16,98;118,86;7;Super Econômico;Cuiabá;Higiene
João Lucas Correia;Luiza Dias;21/06/2024;Ração para Cães;June;38,01;76,02;2;Supermercado Central;Sinop;Pet
Luna das Neves;Dr. Davi Duarte;09/11/2024;Sabão em Pó;November;42,13;84,26;2;Supermercado Central;Várzea Grande;Limpeza
Vitória Martins;Vitor Hugo Barbosa;23/08/2024;Papel Higiênico;August;3,11;3,11;1;Supermercado Central;Sinop;Higiene
Elisa Alves;Gustavo Henrique Lima;24/02/2025;Arroz;February;31,13;155,65;5;Mercado do Bairro;Sinop;Alimentos
Luna das Neves;Dra. Isadora da Luz;19/07/2024;Açúcar;July;9,64;77,12;8;Mercado do Bairro;Tangará da Serra;Alimentos
João Lucas Correia;Dr. Davi Duarte;28/04/2024;Macarrão;April;8,81;88,1;10;Mercado do Bairro;Rondonópolis;Alimentos
Elisa Alves;Srta. Amanda Pinto;21/01/2025;Desinfetante;January;3,53;3,53;1;Mercado do Bairro;Sinop;Limpeza
Dr. Vitor Gabriel Almeida;Beatriz Moraes;18/03/2025;Esponja;March;2,41;24,1;10;Supermercado Central;Tangará da Serra;Limpeza
Elisa Alves;Lara Gonçalves;22/09/2024;Papel Higiênico;September;28,78;57,56;2;Atacadão Popular;Sinop;Higiene
João Lucas Correia;Sra. Agatha Jesus;01/07/2024;Feijão;July;17,12;102,72;6;Mercado do Bairro;Cuiabá;Alimentos
Dr. Vitor Gabriel Almeida;Arthur Viana;10/06/2024;Refrigerante;June;10,07;70,49;7;Supermercado Central;Tangará da Serra;Bebidas
Vitória Martins;Bernardo Cardoso;23/11/2024;Feijão;November;34,14;136,56;4;Atacadão Popular;Tangará da Serra;Alimentos
Juliana Nunes;Luiz Otávio Peixoto;24/01/2025;Areia Higiênica;January;2,23;20,07;9;Supermercado Central;Várzea Grande;Pet
Sr. Pietro Moraes;Beatriz Moraes;26/10/2024;Areia Higiênica;October;16,39;147,51;9;Supermercado Central;Várzea Grande;Pet
João Vitor Moura;Sra. Agatha Jesus;11/10/2024;Arroz;October;2,27;11,35;5;Mercado do Bairro;Tangará da Serra;Alimentos
Samuel Nascimento;Beatriz Moraes;09/07/2024;Ração para Cães;July;44,3;177,2;4;Mercado do Bairro;Tangará da Serra;Pet
Elisa Alves;Ana Lívia Farias;30/12/2024;Macarrão;December;2,08;8,32;4;Super Econômico;Rondonópolis;Alimentos
João Vitor Moura;Otávio Nunes;24/05/2024;Esponja;May;42,05;420,5;10;Supermercado Central;Rondonópolis;Limpeza
Ryan Azevedo;Clarice da Conceição;15/03/2025;Ração para Gatos;March;13,0;78,0;6;Supermercado Central;Tangará da Serra;Pet
Rafaela Cunha;Lívia Pinto;10/12/2024;Ração para Gatos;December;10,56;21,12;2;Mercado do Bairro;Várzea Grande;Pet
Dr. Vitor Gabriel Almeida;Rafaela Ramos;27/12/2024;Água Sanitária;December;40,76;285,32;7;Super Econômico;Tangará da Serra;Limpeza
Isabel Melo;Julia Viana;11/06/2024;Papel Higiênico;June;13,78;13,78;1;Supermercado Central;Rondonópolis;Higiene
Luna das Neves;João Rocha;21/11/2024;Cerveja;November;45,34;226,7;5;Super Econômico;Cuiabá;Bebidas
Giovanna Alves;Luiza Dias;17/11/2024;Açúcar;November;10,38;93,42;9;Atacadão Popular;Tangará da Serra;Alimentos
Juliana Nunes;Nicolas Cunha;13/07/2024;Creme Dental;July;40,87;204,35;5;Supermercado Central;Cuiabá;Higiene
Giovanna Alves;Dr. Davi Duarte;20/10/2024;Creme Dental;October;33,84;304,56;9;Mercado do Bairro;Cuiabá;Higiene
Giovanna Alves;Igor Gonçalves;03/02/2025;Macarrão;February;11,84;94,72;8;Super Econômico;Rondonópolis;Alimentos
Dr. Vitor Gabriel Almeida;Luiz Felipe Freitas;27/10/2024;Vinho;October;34,31;205,86;6;Atacadão Popular;Rondonópolis;Bebidas
Milena Pires;Sr. Matheus da Mata;21/10/2024;Água Sanitária;October;13,28;66,4;5;Atacadão Popular;Várzea Grande;Limpeza
Davi Luiz Silveira;Nina Costa;15/09/2024;Desodorante;September;44,3;88,6;2;Atacadão Popular;Sinop;Higiene
Sr. Pietro Moraes;Sr. Gustavo Mendes;04/08/2024;Desodorante;August;7,35;51,45;7;Supermercado Central;Sinop;Higiene
Sr. Pietro Moraes;Ana Clara da Cunha;06/07/2024;Refrigerante;July;44,03;88,06;2;Super Econômico;Rondonópolis;Bebidas
Juliana Nunes;Lívia Pinto;22/06/2024;Ração para Cães;June;45,83;91,66;2;Mercado do Bairro;Sinop;Pet
Isabel Melo;Sra. Mariana Nunes;12/05/2024;Suco;May;15,73;78,65;5;Mercado do Bairro;Várzea Grande;Bebidas
Milena Pires;Alana Novaes;18/11/2024;Água Mineral;November;25,06;50,12;2;Supermercado Central;Tangará da Serra;Bebidas
João Lucas Correia;Eloah Gonçalves;13/02/2025;Arroz;February;22,95;229,5;10;Mercado do Bairro;Cuiabá;Alimentos
Luna das Neves;Emilly Moura;07/01/2025;Desinfetante;January;28,0;196,0;7;Supermercado Central;Sinop;Limpeza
Milena Pires;Isabelly Porto;07/11/2024;Óleo;November;39,36;393,6;10;Atacadão Popular;Tangará da Serra;Alimentos
Giovanna Alves;Lara Gonçalves;28/05/2024;Shampoo Pet;May;32,18;160,9;5;Atacadão Popular;Sinop;Pet
Rafaela Cunha;Davi Luiz Gonçalves;19/07/2024;Areia Higiênica;July;7,89;63,12;8;Super Econômico;Sinop;Pet
Luna das Neves;Sra. Agatha Jesus;23/03/2025;Ração para Cães;March;4,76;19,04;4;Super Econômico;Tangará da Serra;Pet
Ana Clara Barros;Srta. Mariane Moraes;24/08/2024;Ração para Cães;August;3,26;6,52;2;Mercado do Bairro;Tangará da Serra;Pet
João Vitor Moura;Paulo Cardoso;24/08/2024;Ração para Gatos;August;47,52;95,04;2;Mercado do Bairro;Várzea Grande;Pet
Ana Laura Pereira;Pedro Henrique Ramos;12/10/2024;Shampoo;October;18,57;55,71;3;Atacadão Popular;Tangará da Serra;Higiene
Ana Clara Barros;Bernardo Cardoso;10/06/2024;Refrigerante;June;17,68;141,44;8;Mercado do Bairro;Tangará da Serra;Bebidas
Giovanna Alves;Felipe Cardoso;08/02/2025;Água Mineral;February;14,72;44,16;3;Supermercado Central;Sinop;Bebidas
Sr. Pietro Moraes;Srta. Mariane Moraes;07/10/2024;Shampoo;October;28,49;56,98;2;Atacadão Popular;Rondonópolis;Higiene
Bárbara Ribeiro;Leonardo Duarte;17/03/2025;Cerveja;March;17,08;153,72;9;Super Econômico;Sinop;Bebidas
Dra. Lívia Gonçalves;Ana Lívia Farias;23/09/2024;Água Mineral;September;4,4;30,8;7;Supermercado Central;Várzea Grande;Bebidas
Rafaela Cunha;Benício Rodrigues;17/01/2025;Macarrão;January;2,43;12,15;5;Supermercado Central;Várzea Grande;Alimentos
Dra. Clara da Paz;Daniel Martins;20/04/2025;Cerveja;April;29,72;178,32;6;Mercado do Bairro;Rondonópolis;Bebidas
Rafaela Cunha;Daniel Martins;17/05/2024;Água Sanitária;May;46,55;465,5;10;Mercado do Bairro;Várzea Grande;Limpeza
Vitória Martins;Daniel Martins;26/02/2025;Feijão;February;17,79;35,58;2;Super Econômico;Rondonópolis;Alimentos
Dra. Lívia Gonçalves;Gabrielly Farias;01/06/2024;Água Sanitária;June;43,01;172,04;4;Atacadão Popular;Tangará da Serra;Limpeza
Samuel Nascimento;João Rocha;24/06/2024;Petisco;June;47,73;143,19;3;Atacadão Popular;Sinop;Pet
Milena Pires;Bernardo Cardoso;30/11/2024;Macarrão;November;19,15;76,6;4;Supermercado Central;Tangará da Serra;Alimentos
Sr. Pietro Moraes;Igor Gonçalves;11/05/2024;Shampoo Pet;May;47,82;95,64;2;Supermercado Central;Rondonópolis;Pet
Rafaela Cunha;Marina da Conceição;16/06/2024;Açúcar;June;35,92;179,6;5;Atacadão Popular;Sinop;Alimentos
Juliana Nunes;Clarice da Mata;31/07/2024;Vinho;July;31,74;317,4;10;Super Econômico;Tangará da Serra;Bebidas
Milena Pires;Dr. Marcos Vinicius Vieira;15/05/2024;Suco;May;36,09;144,36;4;Supermercado Central;Tangará da Serra;Bebidas
Juliana Nunes;Pedro Henrique Ramos;25/02/2025;Refrigerante;February;13,27;119,43;9;Super Econômico;Sinop;Bebidas
Juliana Nunes;Dr. Marcos Vinicius Vieira;15/07/2024;Desinfetante;July;30,01;90,03;3;Super Econômico;Cuiabá;Limpeza
Bárbara Ribeiro;Manuela Lima;05/10/2024;Arroz;October;22,37;178,96;8;Supermercado Central;Tangará da Serra;Alimentos
Ryan Azevedo;Lívia Pinto;06/08/2024;Papel Higiênico;August;47,92;287,52;6;Atacadão Popular;Sinop;Higiene
Ryan Azevedo;João Vitor Rezende;30/09/2024;Desodorante;September;41,45;414,5;10;Atacadão Popular;Rondonópolis;Higiene
João Vitor Moura;Leonardo Duarte;14/11/2024;Cerveja;November;14,38;115,04;8;Supermercado Central;Cuiabá;Bebidas
Ryan Azevedo;João Vitor Rezende;02/02/2025;Papel Higiênico;February;12,72;127,2;10;Super Econômico;Várzea Grande;Higiene
Vitória Martins;Sr. Thomas Porto;04/05/2024;Ração para Gatos;May;5,48;10,96;2;Atacadão Popular;Tangará da Serra;Pet
Isabel Melo;Otávio Nunes;13/03/2025;Arroz;March;3,17;9,51;3;Atacadão Popular;Rondonópolis;Alimentos
João Vitor Moura;Alana Novaes;06/11/2024;Desodorante;November;8,01;40,05;5;Super Econômico;Cuiabá;Higiene
Luna das Neves;Dra. Isadora da Luz;11/07/2024;Óleo;July;8,22;82,2;10;Super Econômico;Cuiabá;Alimentos
Dra. Lívia Gonçalves;Sra. Mariana Nunes;19/03/2025;Desinfetante;March;31,17;218,19;7;Super Econômico;Tangará da Serra;Limpeza
Bárbara Ribeiro;Agatha da Rosa;13/08/2024;Açúcar;August;44,76;89,52;2;Supermercado Central;Tangará da Serra;Alimentos
Luna das Neves;Srta. Mariane Moraes;11/10/2024;Desinfetante;October;48,03;96,06;2;Super Econômico;Tangará da Serra;Limpeza
Luna das Neves;Pedro Henrique Ramos;01/01/2025;Suco;January;44,17;309,19;7;Mercado do Bairro;Cuiabá;Bebidas
Ryan Azevedo;Leonardo Duarte;09/12/2024;Desinfetante;December;18,27;36,54;2;Supermercado Central;Várzea Grande;Limpeza
Juliana Nunes;Thomas Nunes;19/09/2024;Desodorante;September;27,51;275,1;10;Atacadão Popular;Sinop;Higiene
João Vitor Moura;Benício Rodrigues;12/04/2025;Creme Dental;April;45,52;91,04;2;Atacadão Popular;Rondonópolis;Higiene
Rafaela Cunha;Evelyn Sales;02/02/2025;Shampoo;February;31,25;187,5;6;Mercado do Bairro;Rondonópolis;Higiene
João Vitor Moura;Gabrielly Farias;23/04/2024;Creme Dental;April;26,21;209,68;8;Mercado do Bairro;Rondonópolis;Higiene
Dr. Vitor Gabriel Almeida;Henrique Peixoto;06/12/2024;Papel Higiênico;December;42,38;211,9;5;Mercado do Bairro;Tangará da Serra;Higiene
Juliana Nunes;Maria Cecília Cunha;28/03/2025;Vinho;March;11,88;59,4;5;Supermercado Central;Rondonópolis;Bebidas
Ana Clara Barros;Sr. Thomas Porto;24/02/2025;Feijão;February;41,37;206,85;5;Mercado do Bairro;Várzea Grande;Alimentos
Rafaela Cunha;Gustavo Henrique Lima;23/03/2025;Água Mineral;March;25,53;153,18;6;Mercado do Bairro;Tangará da Serra;Bebidas
Ana Clara Barros;Emilly Moura;18/11/2024;Macarrão;November;41,88;125,64;3;Atacadão Popular;Sinop;Alimentos
Dra. Clara da Paz;André Freitas;05/02/2025;Esponja;February;40,22;40,22;1;Atacadão Popular;Cuiabá;Limpeza
João Vitor Moura;Eduardo Peixoto;03/06/2024;Desinfetante;June;20,4;81,6;4;Atacadão Popular;Cuiabá;Limpeza
Ana Clara Barros;Luiz Felipe Oliveira;15/12/2024;Ração para Gatos;December;13,51;13,51;1;Supermercado Central;Cuiabá;Pet
Samuel Nascimento;Fernanda Aragão;02/02/2025;Vinho;February;25,86;206,88;8;Supermercado Central;Várzea Grande;Bebidas
Rafaela Cunha;Calebe Mendes;29/05/2024;Açúcar;May;47,44;284,64;6;Atacadão Popular;Cuiabá;Alimentos
Luna das Neves;Sra. Mariana Nunes;12/07/2024;Papel Higiênico;July;36,31;72,62;2;Supermercado Central;Cuiabá;Higiene
Isabel Melo;Pedro Teixeira;08/04/2025;Creme Dental;April;13,23;92,61;7;Mercado do Bairro;Rondonópolis;Higiene
Milena Pires;Sr. Matheus da Mata;28/04/2024;Feijão;April;34,86;244,02;7;Atacadão Popular;Várzea Grande;Alimentos
Rafaela Cunha;Arthur Viana;12/04/2025;Shampoo Pet;April;41,62;249,72;6;Atacadão Popular;Rondonópolis;Pet
Dra. Clara da Paz;Joana Novaes;05/09/2024;Açúcar;September;19,9;139,3;7;Super Econômico;Cuiabá;Alimentos
Elisa Alves;Leonardo Moreira;30/05/2024;Água Sanitária;May;38,92;116,76;3;Super Econômico;Sinop;Limpeza
Ryan Azevedo;Enzo Farias;13/08/2024;Macarrão;August;43,6;348,8;8;Supermercado Central;Rondonópolis;Alimentos
Juliana Nunes;Gustavo Henrique Lima;06/04/2025;Shampoo Pet;April;36,18;36,18;1;Super Econômico;Sinop;Pet
Juliana Nunes;Bianca Duarte;08/05/2024;Desinfetante;May;40,04;200,2;5;Supermercado Central;Rondonópolis;Limpeza
Milena Pires;Gabrielly Correia;15/10/2024;Ração para Cães;October;49,42;345,94;7;Mercado do Bairro;Tangará da Serra;Pet
João Lucas Correia;Bianca Duarte;13/07/2024;Shampoo Pet;July;32,1;321,0;10;Mercado do Bairro;Sinop;Pet
Ryan Azevedo;Gabrielly Correia;30/01/2025;Papel Higiênico;January;38,62;270,34;7;Atacadão Popular;Sinop;Higiene
João Lucas Correia;Isabelly Porto;27/11/2024;Desodorante;November;28,57;85,71;3;Mercado do Bairro;Várzea Grande;Higiene
Luna das Neves;Julia Viana;07/07/2024;Macarrão;July;45,98;91,96;2;Mercado do Bairro;Rondonópolis;Alimentos
Luna das Neves;André Freitas;25/02/2025;Sabão em Pó;February;48,6;145,8;3;Mercado do Bairro;Sinop;Limpeza
Dra. Clara da Paz;Clarice da Conceição;04/12/2024;Açúcar;December;47,85;143,55;3;Supermercado Central;Rondonópolis;Alimentos
Giovanna Alves;Rafaela Ramos;08/04/2025;Shampoo;April;45,13;180,52;4;Supermercado Central;Cuiabá;Higiene
Rafaela Cunha;Stephany Costela;24/02/2025;Água Mineral;February;15,86;47,58;3;Super Econômico;Cuiabá;Bebidas
Milena Pires;Henrique Azevedo;13/04/2025;Macarrão;April;6,14;24,56;4;Supermercado Central;Sinop;Alimentos
João Vitor Moura;Joana Novaes;19/06/2024;Feijão;June;7,65;45,9;6;Super Econômico;Tangará da Serra;Alimentos
Dra. Lívia Gonçalves;Daniel Martins;07/09/2024;Cerveja;September;21,34;149,38;7;Super Econômico;Sinop;Bebidas
Milena Pires;Agatha da Rosa;02/04/2025;Creme Dental;April;34,03;34,03;1;Supermercado Central;Sinop;Higiene
Isabel Melo;Enzo Farias;14/12/2024;Petisco;December;9,13;63,91;7;Atacadão Popular;Tangará da Serra;Pet
Isabel Melo;Evelyn Azevedo;15/03/2025;Shampoo;March;47,76;429,84;9;Supermercado Central;Tangará da Serra;Higiene
Ana Laura Pereira;Gustavo Henrique Lima;12/08/2024;Vinho;August;29,53;29,53;1;Atacadão Popular;Tangará da Serra;Bebidas
Davi Luiz Silveira;Beatriz da Rosa;19/08/2024;Suco;August;23,99;239,9;10;Atacadão Popular;Várzea Grande;Bebidas
Elisa Alves;Henrique Azevedo;10/07/2024;Esponja;July;16,81;134,48;8;Atacadão Popular;Várzea Grande;Limpeza
Ana Laura Pereira;Dra. Melissa Almeida;20/10/2024;Areia Higiênica;October;48,99;293,94;6;Atacadão Popular;Cuiabá;Pet
Bárbara Ribeiro;Maria Cecília Cunha;19/09/2024;Água Mineral;September;7,52;52,64;7;Mercado do Bairro;Tangará da Serra;Bebidas
Sr. Pietro Moraes;Calebe Mendes;09/05/2024;Água Sanitária;May;43,45;304,15;7;Atacadão Popular;Tangará da Serra;Limpeza
Dra. Lívia Gonçalves;Gustavo Henrique Lima;06/05/2024;Esponja;May;6,86;34,3;5;Supermercado Central;Rondonópolis;Limpeza
Dr. Vitor Gabriel Almeida;Ryan da Rocha;09/03/2025;Feijão;March;19,49;19,49;1;Super Econômico;Tangará da Serra;Alimentos
Giovanna Alves;Agatha da Rosa;18/01/2025;Detergente;January;31,4;157,0;5;Mercado do Bairro;Várzea Grande;Limpeza
Dra. Clara da Paz;Eduardo Mendes;25/08/2024;Suco;August;17,15;171,5;10;Supermercado Central;Várzea Grande;Bebidas
Milena Pires;Evelyn Azevedo;26/07/2024;Feijão;July;48,92;195,68;4;Mercado do Bairro;Cuiabá;Alimentos
Rafaela Cunha;Beatriz da Rosa;05/11/2024;Água Sanitária;November;46,92;93,84;2;Atacadão Popular;Sinop;Limpeza
Isabel Melo;Fernanda Aragão;24/05/2024;Arroz;May;15,36;76,8;5;Supermercado Central;Tangará da Serra;Alimentos
Ana Laura Pereira;Isabelly Porto;12/01/2025;Arroz;January;30,8;154,0;5;Atacadão Popular;Várzea Grande;Alimentos
Dra. Lívia Gonçalves;Sr. Matheus da Mata;09/07/2024;Macarrão;July;4,32;38,88;9;Supermercado Central;Cuiabá;Alimentos
Bárbara Ribeiro;Gabrielly Correia;03/10/2024;Macarrão;October;47,06;235,3;5;Mercado do Bairro;Várzea Grande;Alimentos
Elisa Alves;Sr. Thomas Porto;12/08/2024;Petisco;August;25,61;25,61;1;Super Econômico;Tangará da Serra;Pet
Samuel Nascimento;Beatriz Moraes;03/08/2024;Feijão;August;38,61;115,83;3;Super Econômico;Tangará da Serra;Alimentos
Elisa Alves;Dr. Marcos Vinicius Vieira;11/04/2025;Água Sanitária;April;4,45;40,05;9;Mercado do Bairro;Rondonópolis;Limpeza
João Vitor Moura;Clarice da Mata;31/01/2025;Óleo;January;14,3;14,3;1;Super Econômico;Tangará da Serra;Alimentos
Dra. Lívia Gonçalves;Sr. Matheus da Mata;20/04/2025;Cerveja;April;48,65;97,3;2;Supermercado Central;Várzea Grande;Bebidas
Giovanna Alves;Pietra da Rocha;14/10/2024;Desinfetante;October;44,69;89,38;2;Mercado do Bairro;Cuiabá;Limpeza
Vitória Martins;Beatriz Moraes;05/11/2024;Cerveja;November;40,91;81,82;2;Super Econômico;Sinop;Bebidas
Isabel Melo;Pedro Henrique Ramos;10/06/2024;Petisco;June;46,86;468,6;10;Mercado do Bairro;Cuiabá;Pet
Giovanna Alves;Agatha da Rosa;26/12/2024;Macarrão;December;24,65;49,3;2;Super Econômico;Cuiabá;Alimentos
Dr. Vitor Gabriel Almeida;Calebe Mendes;14/01/2025;Desodorante;January;10,97;109,7;10;Mercado do Bairro;Sinop;Higiene
Luna das Neves;Camila Farias;09/04/2025;Arroz;April;15,11;45,33;3;Supermercado Central;Cuiabá;Alimentos
Vitória Martins;Enzo Farias;09/11/2024;Desodorante;November;26,08;130,4;5;Mercado do Bairro;Sinop;Higiene
João Vitor Moura;Dra. Melissa Almeida;17/07/2024;Água Mineral;July;28,61;85,83;3;Supermercado Central;Sinop;Bebidas
Ana Laura Pereira;Raul Silveira;14/05/2024;Ração para Gatos;May;29,43;88,29;3;Supermercado Central;Várzea Grande;Pet
Giovanna Alves;Clarice da Mata;27/03/2025;Água Mineral;March;24,73;49,46;2;Mercado do Bairro;Tangará da Serra;Bebidas
Ana Clara Barros;Maria Sophia Pinto;06/01/2025;Papel Higiênico;January;44,12;352,96;8;Supermercado Central;Tangará da Serra;Higiene
Juliana Nunes;Alana Novaes;04/02/2025;Vinho;February;27,83;250,47;9;Mercado do Bairro;Várzea Grande;Bebidas
Ana Laura Pereira;Otávio Nunes;13/03/2025;Sabonete;March;5,94;29,7;5;Supermercado Central;Cuiabá;Higiene
Ana Clara Barros;Srta. Mariane Moraes;16/08/2024;Desinfetante;August;25,78;51,56;2;Atacadão Popular;Tangará da Serra;Limpeza
Ryan Azevedo;Raul Correia;23/04/2025;Petisco;April;19,07;190,7;10;Atacadão Popular;Várzea Grande;Pet
Dra. Clara da Paz;Eloah Gonçalves;23/08/2024;Cerveja;August;23,82;47,64;2;Super Econômico;Sinop;Bebidas
